Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
2021-03-23,Biscuit Tin,Self Disposal,,MOULMEIN ROAD
2021-03-23,Packet Drink,Self Disposal,,KELULUT HILL
2021-03-24,Jam Bottle,Self Disposal,,JALAN RESAK
2021-03-24,Bodywash Bottle,House Collection,,SUNGEI KADUT LANE
2021-03-24,Canned Food Can,House Collection,,CANTONMENT CLOSE
2021-03-24,Canned Food/Drinks,House Collection,PWC-Alba-WH,
2021-03-24,Canned Food Can,House Collection,PWC-Alba-WH,
2021-03-24,Potato Chip Bag,House Collection,,TAI KENG GARDENS
2021-03-24,Pens,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-24,Detergent Bottle,Self Disposal,,CHEPSTOW CLOSE
2021-03-24,Glass Cosmetic Bottle,Self Disposal,,JALAN BUROH
2021-03-24,Pens,Self Disposal,PWC-800 Super,
2021-03-24,Bodywash Bottle,Self Disposal,PWC-Sembwaste,
2021-03-24,Detergent Bottle,Self Disposal,,AKYAB ROAD
2021-03-25,Plastic Food Bottle,House Collection,,TAH CHING ROAD
2021-03-25,Glass Medicine Bottle,House Collection,,FRASER STREET
2021-03-25,Facial Cleanser Bottle,Self Disposal,Salvation Army,
2021-03-25,Pens,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-25,Shampoo Bottle,Self Disposal,,ELITE TERRACE
2021-03-25,Paint Container,Self Disposal,,JALAN GREJA
2021-03-25,Detergent Bottle,Self Disposal,Tidy,
2021-03-25,Glass Medicine Bottle,Self Disposal,,SEMBAWANG CRESCENT
2021-03-25,Pencils,Self Disposal,,KENT RIDGE DRIVE
2021-03-25,Glass Medicine Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-25,Bodywash Bottle,House Collection,,BELILIOS LANE
2021-03-25,Coffee Capsules,House Collection,,PINE WALK
2021-03-26,Ovens,Self Disposal,Salvation Army,
2021-03-26,Paper Envelope,House Collection,,PEMIMPIN TERRACE
2021-03-26,Paint Container,House Collection,,BENOI PLACE
2021-03-26,Electric Mobility Scooters,House Collection,,CLEMENTI LOOP
2021-03-26,Glass Cosmetic Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-26,Cutlery,House Collection,PWC-Alba-WH,
2021-03-26,Juice Carton,Self Disposal,Salvation Army,
2021-03-26,Bodywash Bottle,Self Disposal,Passiton.org,
2021-03-26,Canned Food Can,House Collection,,CANBERRA ROAD
2021-03-26,Biscuit Tin,House Collection,,SPOONER ROAD
2021-03-26,Detergent Bottle,Self Disposal,Ezi,
2021-03-26,Tissue Paper,House Collection,,CONNAUGHT DRIVE
2021-03-26,Biscuits,Self Disposal,,CEYLON LANE
2021-03-26,Beer Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-03-26,Pyrex Glass,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-26,Glass Medicine Bottle,House Collection,Greensquare,
2021-03-27,Juice Carton,House Collection,,BOON KENG ROAD
2021-03-27,Car Seats,House Collection,,LORONG KEBASI
2021-03-27,Detergent Bottle,Self Disposal,,STANGEE PLACE
2021-03-27,CD Case,House Collection,,LEUCHARS ROAD
2021-03-27,Potato Chip Bag,House Collection,,YIO CHU KANG ROAD
2021-03-27,Canned Food Can,House Collection,,THONG SOON ROAD
2021-03-27,Shampoo Bottle,House Collection,,BUKIT MUGLISTON
2021-03-27,Aerosol Can,House Collection,,MEDIA LINK
2021-03-27,Book,Self Disposal,Ezi,
2021-03-27,Servers,House Collection,Alba,
2021-03-27,Shampoo Bottle,Self Disposal,,BEAULIEU ROAD
2021-03-27,Melamine,Self Disposal,Tidy,
2021-03-27,Clothes Dryers,Self Disposal,,SEMBAWANG WALK
2021-03-27,Switches,Self Disposal,,BINJAI HILL
2021-03-28,Network Hubs,House Collection,PWC-Alba-WH,
2021-03-28,Book,Self Disposal,,BISHAN PLACE
2021-03-28,Cassette Tape,House Collection,,LORONG HALUS
2021-03-28,Printers,House Collection,,CHIN BEE CRESCENT
2021-03-28,Shampoo Bottle,Self Disposal,PWC-Sembwaste,
2021-03-28,Chairs,Self Disposal,Ezi,
2021-03-28,Clothes Dryers,Self Disposal,,DEFU LANE 4
2021-03-28,Toilet Paper Roll,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-29,Bodywash Bottle,Self Disposal,,FRANKEL WALK
2021-03-29,Sofas,House Collection,PWC-Alba-WH,
2021-03-29,Magazine,Self Disposal,,JURONG WEST CENTRAL 1
2021-03-29,Coffee Capsules,House Collection,PWC-Alba-WH,
2021-03-29,Routers,Self Disposal,,TRAS LINK
2021-03-29,Biscuit Tin,Self Disposal,Salvation Army,
2021-03-29,Glass Medicine Bottle,House Collection,,TUAS SOUTH AVENUE 4
2021-03-29,Shampoo Bottle,House Collection,,GUL STREET 1
2021-03-29,Egg Tray,Self Disposal,,ENG KONG TERRACE
2021-03-29,Toilet Paper Roll,Self Disposal,Tidy,
2021-03-29,Magazine,Self Disposal,,WOODLANDS TERRACE
2021-03-29,Light Bulbs,Self Disposal,,SAINT JOHN'S ISLAND
2021-03-29,Biscuit Tin,Self Disposal,,YUNNAN DRIVE 3
2021-03-29,Chairs,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-03-30,Biscuit Tin,House Collection,Greensquare,
2021-03-30,Wireless Access Points,Self Disposal,,TAMPINES WALK
2021-03-30,Shampoo Bottle,House Collection,,LENTOR LINK
2021-03-30,Biscuit Tin,House Collection,PWC-Alba-WH,
2021-03-30,Beer Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-03-30,Canned Food Can,House Collection,,SPRINGSIDE ROAD
2021-03-30,Carriers,Self Disposal,PWC-Sembwaste,
2021-03-30,Glass Cosmetic Bottle,Self Disposal,Salvation Army,
2021-03-30,Paint Container,Self Disposal,,MUSWELL HILL
2021-03-30,Beer Bottle,House Collection,,BEDOK LANE
2021-03-31,Shorts,Self Disposal,Salvation Army,
2021-03-31,Plastic Bag,House Collection,PWC-Alba-WH,
2021-03-31,Detergent Bottle,Self Disposal,,DUBLIN ROAD
2021-03-31,Chairs,Self Disposal,Salvation Army,
2021-03-31,Toasters,House Collection,PWC-Alba-WH,
2021-03-31,Paper Envelope,House Collection,,YUNG LOH ROAD
2021-03-31,Aerosol Can,Self Disposal,PWC-Sembwaste,
2021-03-31,Newspaper,House Collection,,KEW CRESCENT
2021-03-31,Tissue Paper,Self Disposal,,ANG MO KIO STREET 44
2021-03-31,Red Packet,Self Disposal,,PEARL ISLAND
2021-03-31,Canned Food Can,Self Disposal,Salvation Army,
2021-03-31,Canned Food Can,Self Disposal,Ezi,
2021-03-31,Bedding,Self Disposal,,JALAN EMAS URAI
2021-03-31,Glass Cosmetic Bottle,House Collection,PWC-Alba-WH,
2021-03-31,Network Hubs,House Collection,PWC-Alba-WH,
2021-03-31,Aerosol Can,Self Disposal,,JALAN MASTULI
2021-03-31,Coffee Capsules,House Collection,,KOEK ROAD
2021-03-31,High Chairs,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-01,Facial Cleanser Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-01,Shampoo Bottle,Self Disposal,Passiton.org,
2021-04-01,Facial Cleanser Bottle,House Collection,,BODMIN DRIVE
2021-04-01,Toilet Paper,House Collection,,COMPASSVALE WALK
2021-04-01,Biscuit Tin,Self Disposal,,DUNKIRK AVENUE
2021-04-01,Aerosol Can,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-01,Shampoo Bottle,Self Disposal,PWC-Sembwaste,
2021-04-01,Shampoo Bottle,Self Disposal,,ARUMUGAM ROAD
2021-04-01,Bodywash Bottle,House Collection,,JALAN LEKAR
2021-04-01,Beer Bottle,House Collection,Alba,
2021-04-01,Detergent Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-01,CD Case,Self Disposal,,PARRY TERRACE
2021-04-01,Bodywash Bottle,House Collection,,CLAYMORE ROAD
2021-04-01,Windows,Self Disposal,Ezi,
2021-04-01,Biscuit Tin,Self Disposal,PWC-Sembwaste,
2021-04-01,Toasters,House Collection,,FABER DRIVE
2021-04-01,Detergent Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-01,Biscuit Tin,House Collection,,ENG NEO AVENUE
2021-04-01,Detergent Bottle,House Collection,,JALAN DAMAI
2021-04-01,Shampoo Bottle,Self Disposal,PWC-Sembwaste,
2021-04-02,Glass Medicine Bottle,House Collection,PWC-Alba-WH,
2021-04-02,Baking Glassware,Self Disposal,PWC-Sembwaste,
2021-04-02,Cassette Tape,House Collection,,HENG MUI KENG TERRACE
2021-04-02,Facial Cleanser Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-02,Canned Food Can,House Collection,PWC-Alba-WH,
2021-04-02,Aerosol Can,Self Disposal,,PASIR RIS RISE
2021-04-02,Electric Mobility Scooters,House Collection,Alba,
2021-04-02,Paint Container,House Collection,Alba,
2021-04-02,Aerosol Can,Self Disposal,Tidy,
2021-04-02,Glass Medicine Bottle,Self Disposal,,KAMPONG EUNOS
2021-04-02,Shampoo Bottle,House Collection,,MIMOSA ROAD
2021-04-02,Biscuit Tin,House Collection,PWC-Alba-WH,
2021-04-02,Shampoo Bottle,House Collection,,ENG WATT STREET
2021-04-02,Canned Food Can,House Collection,Alba,
2021-04-02,Facial Cleanser Bottle,Self Disposal,Passiton.org,
2021-04-03,Shampoo Bottle,Self Disposal,Salvation Army,
2021-04-03,Paint Container,House Collection,,THOMSON WALK
2021-04-03,Plastic Egg Tray,Self Disposal,Ezi,
2021-04-03,Paper Towel Roll,Self Disposal,Salvation Army,
2021-04-03,Watches,House Collection,,HAIG ROAD
2021-04-03,Network Hubs,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-03,Refrigerators,Self Disposal,Tidy,
2021-04-03,Paint Container,Self Disposal,,CAMDEN PARK
2021-04-03,Switches,House Collection,Alba,
2021-04-03,Beer Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-03,Paper Plate,House Collection,,DEFU AVENUE 1
2021-04-03,Biscuit Tin,Self Disposal,,KINGSWEAR AVENUE
2021-04-03,Aerosol Can,House Collection,,SENOKO LINK
2021-04-03,Food Jar,Self Disposal,,TENG TONG ROAD
2021-04-03,Car Seats,Self Disposal,,LORONG 101 CHANGI
2021-04-03,Bodywash Bottle,House Collection,PWC-Alba-WH,
2021-04-03,Biscuit Tin,House Collection,Alba,
2021-04-04,Glass Medicine Bottle,Self Disposal,,YISHUN INDUSTRIAL PARK A
2021-04-04,Beer Bottle,Self Disposal,PWC-800 Super,
2021-04-04,Sunglasses,Self Disposal,,JALAN TOA PAYOH
2021-04-04,Medicine Blister Pack,House Collection,,SENGKANG EAST WAY
2021-04-04,Detergent Bottle,House Collection,,TERANG BULAN AVENUE
2021-04-04,Disposable Wooden Chopstick,House Collection,,LOYANG LANE
2021-04-04,Disposable Wooden Chopstick,Self Disposal,,WOODLANDS INDUSTRIAL PARK D STREET 1
2021-04-04,Wine Bottle,House Collection,,JAMBOL PLACE
2021-04-04,Computers,House Collection,Alba,
2021-04-04,Detergent Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-04,Mirror,Self Disposal,Passiton.org,
2021-04-04,Glass Medicine Bottle,Self Disposal,Tidy,
2021-04-04,Bodywash Bottle,House Collection,Greensquare,
2021-04-04,Paint Container,House Collection,,JURONG WEST STREET 73
2021-04-05,Glass Medicine Bottle,Self Disposal,,CHANCERY HILL WALK
2021-04-05,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-05,Detergent Bottle,House Collection,,ANG MO KIO INDUSTRIAL PARK 2A
2021-04-05,Shampoo Bottle,Self Disposal,,LADY HILL ROAD
2021-04-05,Paint Container,House Collection,PWC-Alba-WH,
2021-04-05,Aerosol Can,Self Disposal,Alba E-waste Smart Recycling,
2021-04-05,Slippers,Self Disposal,,WESTWOOD CRESCENT
2021-04-05,Disposable Wooden Chopstick,House Collection,,MANSTON ROAD
2021-04-05,Pencils,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-05,Egg Tray,House Collection,Alba,
2021-04-05,Aerosol Can,Self Disposal,,PERAHU ROAD
2021-04-05,Biscuit Tin,House Collection,,NEE SOON ROAD
2021-04-06,Car Seats,Self Disposal,Passiton.org,
2021-04-06,High Chairs,Self Disposal,,TAMPINES CENTRAL 7
2021-04-06,Canned Food Can,Self Disposal,PWC-800 Super,
2021-04-06,Beer Bottle,Self Disposal,PWC-Sembwaste,
2021-04-06,Irons,Self Disposal,Alba E-waste Smart Recycling,
2021-04-06,Styrofoam,House Collection,Alba,
2021-04-06,Facial Cleanser Bottle,House Collection,,HOLLAND GROVE AVENUE
2021-04-06,Biscuit Tin,Self Disposal,PWC-800 Super,
2021-04-06,Rice,House Collection,,BUANGKOK GREEN
2021-04-06,Paint Container,Self Disposal,Salvation Army,
2021-04-06,Canned Food Can,House Collection,PWC-Alba-WH,
2021-04-06,Facial Cleanser Bottle,House Collection,Alba,
2021-04-06,Facial Cleanser Bottle,House Collection,PWC-Alba-WH,
2021-04-07,Routers,Self Disposal,Tidy,
2021-04-07,Aerosol Can,Self Disposal,Salvation Army,
2021-04-07,Glass Medicine Bottle,House Collection,,JOO CHIAT WALK
2021-04-07,Sanitary Pad,Self Disposal,,ANG MO KIO STREET 12
2021-04-07,Glass Medicine Bottle,House Collection,Alba,
2021-04-07,Aerosol Can,House Collection,Greensquare,
2021-04-07,Magazine Wrapper,House Collection,,LIMAU TERRACE
2021-04-07,Toy Cars,Self Disposal,,HINDHEDE PLACE
2021-04-07,Flyer,House Collection,Alba,
2021-04-07,Canned Food Can,House Collection,Greensquare,
2021-04-07,Shampoo Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-08,Detergent Bottle,House Collection,,SPRINGWOOD CRESCENT
2021-04-08,Paper Envelope With Window,Self Disposal,,JALAN KURAS
2021-04-08,Shampoo Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-08,Bodywash Bottle,Self Disposal,,STRATTON PLACE
2021-04-08,Paper Receipt,House Collection,Alba,
2021-04-08,Beer Bottle,House Collection,PWC-Alba-WH,
2021-04-08,Paper Cup,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-08,Paint Container,Self Disposal,Alba E-waste Smart Recycling,
2021-04-08,Toilet Paper Roll,House Collection,Alba,
2021-04-09,Facial Cleanser Bottle,House Collection,,CANBERRA LANE
2021-04-09,Packet Drink,Self Disposal,,JALAN PARI UNAK
2021-04-09,Facial Cleanser Bottle,Self Disposal,Passiton.org,
2021-04-09,Blouses,Self Disposal,Tidy,
2021-04-09,Contact Lens Blister,House Collection,Greensquare,
2021-04-09,Glass Medicine Bottle,Self Disposal,,BUNGA RAMPAI PLACE
2021-04-09,Biscuit Tin,Self Disposal,PWC-800 Super,
2021-04-09,Wine Bottle,House Collection,,NORTH CANAL ROAD
2021-04-09,Metal Drink Can,Self Disposal,Salvation Army,
2021-04-09,Toilet Paper Roll,Self Disposal,,MARTABAN ROAD
2021-04-09,Facial Cleanser Bottle,Self Disposal,PWC-800 Super,
2021-04-10,Bodywash Bottle,House Collection,PWC-Alba-WH,
2021-04-10,Pens,House Collection,Alba,
2021-04-10,Food Jar,Self Disposal,Passiton.org,
2021-04-10,Pencils,House Collection,Greensquare,
2021-04-10,Magazine,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-10,Beds,House Collection,,WESTERHOUT ROAD
2021-04-10,Walkers,Self Disposal,Salvation Army,
2021-04-10,Paint Container,Self Disposal,PWC-Sembwaste,
2021-04-10,Bodywash Bottle,House Collection,,MINBU ROAD
2021-04-10,Light Bulbs,House Collection,Alba,
2021-04-10,Dolls,House Collection,,UPPER BOON KENG ROAD
2021-04-10,Glass Medicine Bottle,Self Disposal,,SIMON LANE
2021-04-11,Plant,House Collection,Alba,
2021-04-11,Detergent Bottle,Self Disposal,Ezi,
2021-04-11,Bedsheets,Self Disposal,PWC-800 Super,
2021-04-11,Facial Cleanser Bottle,Self Disposal,Ezi,
2021-04-11,Light Bulbs,Self Disposal,Tidy,
2021-04-11,Bodywash Bottle,House Collection,,SIGLAP AVENUE
2021-04-11,Bedding,Self Disposal,Ezi,
2021-04-11,Canned Food Can,House Collection,,LORONG 36 GEYLANG
2021-04-11,Wireless Access Points,House Collection,Greensquare,
2021-04-11,Brochure,Self Disposal,Salvation Army,
2021-04-11,Glass Cosmetic Bottle,House Collection,,GHIM MOH ROAD
2021-04-11,Plastic Drink Bottle,House Collection,PWC-Alba-WH,
2021-04-11,Facial Cleanser Bottle,Self Disposal,,FRANKEL WALK
2021-04-12,Prams,Self Disposal,,FRANKEL AVENUE
2021-04-12,Shampoo Bottle,Self Disposal,Passiton.org,
2021-04-12,Beer Bottle,House Collection,Alba,
2021-04-12,Personal Mobility Devices,Self Disposal,,MUGLISTON PARK
2021-04-12,Facial Cleanser Bottle,House Collection,Alba,
2021-04-12,Glass Cosmetic Bottle,House Collection,,JALAN KEMAMAN
2021-04-12,Biscuit Tin,House Collection,Greensquare,
2021-04-12,Bedding,House Collection,,EXPO DRIVE
2021-04-12,Pants,Self Disposal,Salvation Army,
2021-04-12,Glass Cosmetic Bottle,Self Disposal,Salvation Army,
2021-04-12,Glass Medicine Bottle,House Collection,,KENT ROAD
2021-04-12,Facial Cleanser Bottle,House Collection,,JALAN TAMBAN
2021-04-12,Toilet Paper,Self Disposal,,JALAN DUA
2021-04-12,Glass Drink Bottle,Self Disposal,Ezi,
2021-04-12,Shampoo Bottle,House Collection,Alba,
2021-04-12,Bodywash Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-13,Paint Container,Self Disposal,,BUKIT BATOK WEST AVENUE 8
2021-04-13,Wireless Access Points,Self Disposal,Alba E-waste Smart Recycling,
2021-04-13,Paper Plate,Self Disposal,,THOMSON CLOSE
2021-04-13,Bodywash Bottle,House Collection,PWC-Alba-WH,
2021-04-13,Shampoo Bottle,House Collection,,RESEARCH LINK
2021-04-13,Tablets,House Collection,,WALMER DRIVE
2021-04-13,Detergent Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-04-13,Jam Bottle,Self Disposal,Ezi,
2021-04-14,Rice,Self Disposal,,JALAN BATALONG EAST
2021-04-14,Detergent Bottle,Self Disposal,Ezi,
2021-04-14,Bodywash Bottle,Self Disposal,Ezi,
2021-04-14,Food Jar,Self Disposal,Passiton.org,
2021-04-14,Plant,Self Disposal,,NANYANG AVENUE
2021-04-14,Canned Food Can,House Collection,,PHENG GECK AVENUE
2021-04-14,Beer Bottle,House Collection,,MCNAIR ROAD
2021-04-14,Paper Towel,Self Disposal,,PAGODA STREET
2021-04-14,Paint Container,House Collection,PWC-Alba-WH,
2021-04-14,Biscuit Tin,Self Disposal,,TUAS SOUTH AVENUE 9
2021-04-14,Paint Container,House Collection,,JURONG WEST STREET 63
2021-04-14,Ovens,Self Disposal,,JALAN RUKAM
2021-04-14,Aerosol Can,Self Disposal,Alba E-waste Smart Recycling,
2021-04-15,Long Fluorescent Tubes,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-15,Bodywash Bottle,Self Disposal,,EVERGREEN AVENUE
2021-04-15,Red Packet,House Collection,,MARINA WAY
2021-04-15,Printers,Self Disposal,,SELETAR WEST LINK
2021-04-15,Facial Cleanser Bottle,Self Disposal,,PENDING ROAD
2021-04-15,Glass Medicine Bottle,House Collection,PWC-Alba-WH,
2021-04-15,Toys,Self Disposal,Passiton.org,
2021-04-15,Glass Cosmetic Bottle,Self Disposal,Passiton.org,
2021-04-15,Gift Wrapping Paper,House Collection,,SUNGEI KADUT CRESCENT
2021-04-15,Glass Medicine Bottle,House Collection,Alba,
2021-04-15,Shorts,Self Disposal,PWC-800 Super,
2021-04-15,Biscuit Tin,House Collection,,SERAYA AVENUE
2021-04-15,Jam Bottle,Self Disposal,PWC-800 Super,
2021-04-15,Glass Medicine Bottle,House Collection,,LORONG SARINA
2021-04-15,Pencils,Self Disposal,Passiton.org,
2021-04-16,Biscuit Tin,House Collection,PWC-Alba-WH,
2021-04-16,Canned Food Can,House Collection,PWC-Alba-WH,
2021-04-16,Beer Bottle,House Collection,Greensquare,
2021-04-16,Electric Mobility Scooters,House Collection,Alba,
2021-04-16,Aerosol Can,House Collection,,TUAS VIEW WALK 1
2021-04-16,Air-Conditioners,Self Disposal,Alba E-waste Smart Recycling,
2021-04-16,Glass Cosmetic Bottle,Self Disposal,,ANSON ROAD
2021-04-16,Paper Cup,House Collection,,TUAS AVENUE 18A
2021-04-16,Blouses,House Collection,,HEMMANT ROAD
2021-04-16,Detergent Bottle,House Collection,,TAMPINES STREET 72
2021-04-16,Printer Ink Cartridge,House Collection,,FRENCH ROAD
2021-04-17,Rice,House Collection,,SILOSO ROAD
2021-04-17,Glass Medicine Bottle,House Collection,,BENOI PLACE
2021-04-17,Detergent Bottle,Self Disposal,,WOODLANDS CRESCENT
2021-04-17,Paint Container,House Collection,,MANDAI ROAD
2021-04-17,Modems,House Collection,Greensquare,
2021-04-17,Walkers,House Collection,,KENT ROAD
2021-04-17,Watches,House Collection,,KAKI BUKIT AVENUE 6
2021-04-17,Aerosol Can,House Collection,Greensquare,
2021-04-17,Potato Chip Bag,Self Disposal,Passiton.org,
2021-04-17,Glass Cosmetic Bottle,House Collection,Alba,
2021-04-17,Glass Medicine Bottle,House Collection,,SELETAR AEROSPACE VIEW
2021-04-17,Canned Food Can,House Collection,,UBI VIEW
2021-04-17,Facial Cleanser Bottle,Self Disposal,,WALLICH STREET
2021-04-17,Paper Packaging,Self Disposal,Salvation Army,
2021-04-17,Coffee Capsules,Self Disposal,,CHANGI NORTH STREET 2
2021-04-18,Chairs,House Collection,PWC-Alba-WH,
2021-04-18,Refrigerators,Self Disposal,Passiton.org,
2021-04-18,Shampoo Bottle,Self Disposal,,LUCKY VIEW
2021-04-18,Milk Carton,Self Disposal,,KAMPONG JAVA ROAD
2021-04-18,Windows,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-18,Personal Mobility Devices,Self Disposal,Passiton.org,
2021-04-18,Bodywash Bottle,Self Disposal,PWC-800 Super,
2021-04-18,Blouses,House Collection,,SARKIES ROAD
2021-04-18,Bodywash Bottle,Self Disposal,PWC-Sembwaste,
2021-04-18,Paper Towel,Self Disposal,Tidy,
2021-04-18,Plastic Egg Tray,Self Disposal,,MACTAGGART ROAD
2021-04-18,Beer Bottle,Self Disposal,,JAMBOL WALK
2021-04-18,Slippers,House Collection,Greensquare,
2021-04-18,Shampoo Bottle,House Collection,,MOUNT SINAI ROAD
2021-04-18,Facial Cleanser Bottle,House Collection,Alba,
2021-04-19,Plastic Film Packaging,Self Disposal,Salvation Army,
2021-04-19,Aerosol Can,Self Disposal,,SAINT JOHN'S ROAD
2021-04-19,Detergent Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-19,Detergent Bottle,House Collection,,WEST CAMP ROAD
2021-04-19,Detergent Bottle,Self Disposal,PWC-800 Super,
2021-04-19,Sofas,Self Disposal,Alba E-waste Smart Recycling,
2021-04-19,Canned Food Can,Self Disposal,Passiton.org,
2021-04-19,Bodywash Bottle,Self Disposal,PWC-800 Super,
2021-04-19,Aerosol Can,House Collection,Greensquare,
2021-04-19,Newspaper,House Collection,,BARKER ROAD
2021-04-19,Canned Food Can,Self Disposal,PWC-Sembwaste,
2021-04-20,Carton Box,House Collection,,PRINSEP STREET
2021-04-20,Packet Drink,House Collection,,LINK ROAD
2021-04-20,Shredded Paper,Self Disposal,PWC-Sembwaste,
2021-04-20,CD Case,Self Disposal,Salvation Army,
2021-04-20,Markers,House Collection,Alba,
2021-04-20,Markers,House Collection,PWC-Alba-WH,
2021-04-20,Canned Food Can,House Collection,,PENANG LANE
2021-04-20,Biscuits,House Collection,PWC-Alba-WH,
2021-04-20,Disposable Wooden Chopstick,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-20,Bodywash Bottle,House Collection,Greensquare,
2021-04-20,Aerosol Can,Self Disposal,,SAINT MARTIN'S DRIVE
2021-04-21,Plant,Self Disposal,Passiton.org,
2021-04-21,Food Jar,Self Disposal,,SILAT ROAD
2021-04-21,Facial Cleanser Bottle,Self Disposal,,SHAW ROAD
2021-04-21,Electric Mobility Scooters,House Collection,,MEI CHIN ROAD
2021-04-21,Canned Food Can,Self Disposal,Tidy,
2021-04-21,Shorts,House Collection,,PIONEER CRESCENT
2021-04-21,Baking Glassware,Self Disposal,Alba E-waste Smart Recycling,
2021-04-21,Beer Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-21,Desktop Monitors,Self Disposal,PWC-800 Super,
2021-04-21,Red Packet,House Collection,Greensquare,
2021-04-21,Aerosol Can,Self Disposal,,UNIVERSITY ROAD
2021-04-21,CD,Self Disposal,Alba E-waste Smart Recycling,
2021-04-21,Glass Medicine Bottle,Self Disposal,,PARKSTONE ROAD
2021-04-21,Shampoo Bottle,House Collection,,CREATE WAY
2021-04-21,Biscuit Tin,Self Disposal,,MAYFLOWER AVENUE
2021-04-22,Aerosol Can,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-22,Facial Cleanser Bottle,House Collection,,SERAYA PLACE
2021-04-22,Plant,Self Disposal,Tidy,
2021-04-22,Rice,Self Disposal,PWC-800 Super,
2021-04-22,Slippers,Self Disposal,Alba E-waste Smart Recycling,
2021-04-22,Clothes Dryers,House Collection,,TUAS LINK 1
2021-04-22,Beds,House Collection,,TAI KENG PLACE
2021-04-22,Shampoo Bottle,Self Disposal,Salvation Army,
2021-04-22,Detergent Bottle,House Collection,,SARACA ROAD
2021-04-22,Canned Food Can,Self Disposal,PWC-800 Super,
2021-04-22,Backpacks,House Collection,Greensquare,
2021-04-22,Cutlery,House Collection,,JALAN CHEGAR
2021-04-22,Glass Medicine Bottle,House Collection,Greensquare,
2021-04-22,Beer Bottle,Self Disposal,,JALAN CHEMPAKA PUTEH
2021-04-22,Switches,Self Disposal,Passiton.org,
2021-04-22,Shampoo Bottle,House Collection,PWC-Alba-WH,
2021-04-22,Shampoo Bottle,House Collection,,JALAN CHEMPAKA KUNING
2021-04-22,Shampoo Bottle,House Collection,,SEMBAWANG DRIVE
2021-04-22,Glass Cosmetic Bottle,Self Disposal,,DEFU LANE 12
2021-04-22,Facial Cleanser Bottle,Self Disposal,Salvation Army,
2021-04-23,Aerosol Can,House Collection,,COMMONWEALTH AVENUE WEST
2021-04-23,Bodywash Bottle,House Collection,Greensquare,
2021-04-23,Glass Cosmetic Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-23,Printed Paper,Self Disposal,Alba E-waste Smart Recycling,
2021-04-23,Paper Envelope With Window,Self Disposal,,MCCALLUM STREET
2021-04-23,Paint Container,Self Disposal,PWC-Sembwaste,
2021-04-23,Glass Cup,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-23,Metal Bottle Cap,House Collection,,KAMPONG ARANG ROAD
2021-04-23,Glass Cosmetic Bottle,House Collection,,TUAS BASIN LINK
2021-04-23,Glass Cosmetic Bottle,Self Disposal,,SEMBAWANG ROAD
2021-04-23,Shampoo Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-04-23,Walkers,Self Disposal,Ezi,
2021-04-23,Aerosol Can,Self Disposal,PWC-Sembwaste,
2021-04-23,Detergent Bottle,Self Disposal,,CHOA CHU KANG GROVE
2021-04-24,Power Assisted Bicycles,Self Disposal,Ezi,
2021-04-24,Biscuit Tin,House Collection,,SIGLAP AVENUE
2021-04-24,Facial Cleanser Bottle,Self Disposal,Tidy,
2021-04-24,Canned Food Can,Self Disposal,Alba E-waste Smart Recycling,
2021-04-24,Bodywash Bottle,House Collection,,LORONG 1 TOA PAYOH
