s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
1521,0.769552701,0.228027171,01/10/2022,Beds,Self Disposal,Tidy,NA
1522,0.067610629,0.197550561,30/05/2022,Bodywash Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1523,0.047481889,0.674280918,02/12/2021,Bodywash Bottle,House Collection,NA,SALLIM ROAD
1524,0.576223257,0.97673423,16/06/2022,Plastic Cutlery,House Collection,NA,COUNTRYSIDE VIEW
1525,0.353963551,0.145705493,07/02/2021,Shampoo Bottle,Self Disposal,Ezi,NA
1526,0.079634326,0.77263772,09/09/2021,Bodywash Bottle,Self Disposal,NA,TAMPINES STREET 45
1527,0.918372148,0.382000608,11/09/2022,Milk Carton,House Collection,PWC-Alba-WH,NA
1528,0.287320069,0.717216221,18/05/2021,Paint Container,House Collection,NA,FIRST STREET
1529,0.027389921,0.543463377,05/05/2021,Aerosol Can,House Collection,NA,FUSIONOPOLIS VIEW
1530,0.669419327,0.692207049,23/09/2022,Skirts,House Collection,NA,SIMS AVENUE EAST
1531,0.383796211,0.782234232,28/07/2021,Beer Bottle,House Collection,NA,BUANGKOK LINK
1532,0.508866773,0.963459622,20/05/2022,Toys,Self Disposal,NA,YISHUN STREET 51
1533,0.198314022,0.55703136,06/02/2022,Glass Cosmetic Bottle,Self Disposal,NA,SILAT AVENUE
1534,0.8989197,0.031908414,29/07/2021,Plastic Takeaway Container,House Collection,Greensquare,NA
1535,0.232486205,0.88240008,26/04/2022,Glass Medicine Bottle,House Collection,NA,KIAN TECK AVENUE
1536,0.436530058,0.26675604,15/09/2021,Biscuit Tin,Self Disposal,Tidy,NA
1537,0.821868047,0.544150012,16/10/2021,Namecard,Self Disposal,NA,VISTA EXCHANGE GREEN
1538,0.313975579,0.148088079,24/05/2022,Paint Container,Self Disposal,Ezi,NA
1539,0.771856001,0.29002232,25/11/2021,Switches,House Collection,Alba,NA
1540,0.542441965,0.765308565,22/07/2022,Flyer,House Collection,NA,PASIR RIS STREET 72
1541,0.250974716,0.965968293,04/04/2021,Glass Medicine Bottle,Self Disposal,NA,YISHUN INDUSTRIAL PARK A
1542,0.769946642,0.149999166,27/04/2022,Bedsheets,Self Disposal,Ezi,NA
1543,0.526328096,0.508951662,10/07/2022,Irons,Self Disposal,NA,HAVELOCK ROAD
1544,0.405330695,0.303469079,12/04/2022,Beer Bottle,House Collection,Alba,NA
1545,0.524931773,0.073889384,19/07/2021,Plastic Film Packaging,Self Disposal,Passiton.org,NA
1546,0.600138864,0.070091194,08/09/2022,Metal Drink Can,Self Disposal,Passiton.org,NA
1547,0.949767971,0.178256115,11/08/2021,Laptops,Self Disposal,Ezi,NA
1548,0.308081148,0.366836415,24/07/2021,Paint Container,House Collection,PWC-Alba-WH,NA
1549,0.835689574,0.042066967,18/06/2021,Windows,House Collection,Greensquare,NA
1550,0.025205047,0.573050084,03/10/2021,Aerosol Can,Self Disposal,NA,FLANDERS SQUARE
1551,0.125671412,0.935763227,16/08/2021,Detergent Bottle,House Collection,NA,WOODLANDS STREET 11
1552,0.147938011,0.899593015,18/05/2021,Facial Cleanser Bottle,Self Disposal,NA,TUAS AVENUE 1
1553,0.68040732,0.875966074,28/06/2022,Sauce Bottle,House Collection,NA,ANGSANA DRIVE
1554,0.515771137,0.900237114,02/03/2022,Medicine Blister Pack,Self Disposal,NA,NANYANG AVENUE
1555,0.936018893,0.996995723,15/06/2022,Aerosol Can,Self Disposal,NA,PUNGGOL FIELD
1556,0.844029075,0.531256226,02/04/2022,Carton Box,House Collection,NA,PASIR PANJANG DRIVE
1557,0.311661652,0.244108052,21/09/2021,Paint Container,Self Disposal,Tidy,NA
1558,0.736569478,0.822185972,18/03/2022,Disposable Wooden Chopstick,Self Disposal,NA,COURT ROAD
1559,0.926120327,0.446492955,27/11/2021,High Chairs,Self Disposal,PWC-Sembwaste,NA
1560,0.66095003,0.209144488,01/12/2021,Brochure,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1561,0.148582044,0.22988486,25/05/2022,Facial Cleanser Bottle,Self Disposal,Tidy,NA
1562,0.662210353,0.161107393,05/01/2022,Glass Plate,Self Disposal,Ezi,NA
1563,0.787732408,0.462024647,30/01/2022,Handbags,Self Disposal,PWC-800 Super,NA
1564,0.6195129,0.075593193,14/04/2021,Food Jar,Self Disposal,Passiton.org,NA
1565,0.740220176,0.101562193,09/07/2022,Wine Bottle,Self Disposal,Salvation Army,NA
1566,0.3142118,0.396577929,03/10/2022,Paint Container,House Collection,PWC-Alba-WH,NA
1567,0.425752968,0.999819406,12/04/2021,Biscuit Tin,Self Disposal,NA,PONGGOL SEVENTEENTH AVENUE
1568,0.659929091,0.573903354,30/01/2021,Milk Carton,Self Disposal,NA,CHITTY ROAD
1569,0.095076659,0.68933047,04/01/2021,Detergent Bottle,House Collection,NA,JALAN DAMAI
1570,0.92760826,0.420384486,01/06/2022,Shirts,Self Disposal,PWC-Sembwaste,NA
1571,0.153389184,0.807623326,05/09/2022,Facial Cleanser Bottle,House Collection,NA,LEITH ROAD
1572,0.259279031,0.690161446,10/10/2021,Glass Medicine Bottle,Self Disposal,NA,KAKI BUKIT ROAD 3
1573,0.795872408,0.279073807,04/05/2022,Wax Paper,House Collection,Alba,NA
1574,0.603125226,0.472538566,17/09/2021,Metal Bottle Cap,Self Disposal,PWC-800 Super,NA
1575,0.68134674,0.843582759,25/08/2021,CD Case,House Collection,NA,JALAN KHAMIS
1576,0.932471398,0.928238856,30/07/2022,Televisions,Self Disposal,NA,LORONG PASU
1577,0.628272518,0.572248858,03/08/2022,Walkers,House Collection,NA,JALAN BESAR
1578,0.576535935,0.824683498,05/08/2021,Pyrex Glass,House Collection,NA,BLOXHOME DRIVE
1579,0.67042013,0.675551278,09/03/2022,Tables,House Collection,NA,LORONG 29 GEYLANG
1580,0.005099802,0.631660779,14/03/2022,Aerosol Can,Self Disposal,NA,LORNIE ROAD
1581,0.38614192,0.487146255,08/02/2022,Beer Bottle,Self Disposal,PWC-800 Super,NA
1582,0.071349932,0.711840802,20/07/2021,Bodywash Bottle,Self Disposal,NA,PARKSTONE ROAD
1583,0.68961868,0.692838049,02/08/2022,Canned Food/Drinks,House Collection,NA,LORONG MELAYU
1584,0.720898521,0.391298724,06/07/2022,CD,House Collection,PWC-Alba-WH,NA
1585,0.815583013,0.635248209,16/07/2021,Video Tape,House Collection,NA,JOHN ROAD
1586,0.780718948,0.731270795,17/06/2021,CD Case,House Collection,NA,CHAI CHEE DRIVE
1587,0.560129845,0.773616532,31/08/2021,Jam Bottle,House Collection,NA,TAMPINES STREET 62
1588,0.315219556,0.437899153,26/02/2021,Paint Container,Self Disposal,PWC-Sembwaste,NA
1589,0.246236838,0.060374479,23/03/2021,Glass Medicine Bottle,Self Disposal,Passiton.org,NA
1590,0.347186227,0.968715768,21/03/2021,Shampoo Bottle,Self Disposal,NA,CHONG KUO ROAD
1591,0.913530179,0.251259151,23/10/2022,Melamine,Self Disposal,Tidy,NA
1592,0.029925315,0.364112677,02/12/2021,Aerosol Can,House Collection,PWC-Alba-WH,NA
1593,0.562549287,0.372038307,02/04/2022,Glass Bowl,House Collection,PWC-Alba-WH,NA
1594,0.774284249,0.568061752,17/03/2022,Medicine Blister Pack,House Collection,NA,ALIWAL STREET
1595,0.712073635,0.624179945,28/09/2021,Set-Top Boxes,Self Disposal,NA,BUKIT SEDAP ROAD
1596,0.674459025,0.148534867,16/11/2022,Ceramic,Self Disposal,Ezi,NA
1597,0.582035754,0.655642094,04/02/2022,Egg Tray,Self Disposal,NA,BIDADARI PARK DRIVE
1598,0.227277636,0.42773229,06/07/2021,Glass Medicine Bottle,Self Disposal,PWC-Sembwaste,NA
1599,0.225970971,0.303499879,10/02/2022,Glass Cosmetic Bottle,House Collection,Alba,NA
1600,0.616026003,0.630167756,11/03/2022,Plastic Cutlery,House Collection,NA,DUNEARN ROAD
1601,0.848940794,0.74895587,26/06/2022,Rice,Self Disposal,NA,JALAN PARI UNAK
1602,0.093622829,0.076048754,13/03/2022,Detergent Bottle,Self Disposal,Passiton.org,NA
1603,0.482505754,0.525483308,29/05/2022,Canned Food Can,House Collection,NA,PASIR PANJANG ROAD
1604,0.315615742,0.904979479,10/12/2021,Paint Container,House Collection,NA,JURONG LAKE LINK
1605,0.047113243,0.866920982,15/07/2021,Bodywash Bottle,House Collection,NA,JURONG EAST STREET 12
1606,0.242629358,0.8631806,12/01/2021,Glass Medicine Bottle,House Collection,NA,BLACKMORE DRIVE
1607,0.197918415,0.374610192,29/05/2022,Glass Cosmetic Bottle,House Collection,PWC-Alba-WH,NA
1608,0.304709855,0.965775156,06/05/2021,Paint Container,House Collection,NA,JALAN JERUJU
1609,0.0109606,0.660480705,29/09/2021,Aerosol Can,Self Disposal,NA,CEDAR AVENUE
1610,0.348068798,0.906627581,05/02/2021,Shampoo Bottle,House Collection,NA,JURONG WEST CENTRAL 2
1611,0.858664476,0.145025993,03/12/2021,Milk Carton,Self Disposal,Ezi,NA
1612,0.736545425,0.501802182,05/04/2021,Disposable Wooden Chopstick,House Collection,NA,REPUBLIC AVENUE
1613,0.140026266,0.888565297,30/09/2021,Facial Cleanser Bottle,House Collection,NA,TUAS SOUTH STREET 8
1614,0.594534376,0.659964299,02/06/2022,Washing Machines,Self Disposal,NA,GENTING ROAD
1615,0.099217567,0.387119244,22/12/2021,Detergent Bottle,House Collection,PWC-Alba-WH,NA
1616,0.360390419,0.069897632,09/10/2022,Shampoo Bottle,Self Disposal,Passiton.org,NA
1617,0.281455884,0.362804232,07/02/2021,Paint Container,Self Disposal,Alba E-waste Smart Recycling,NA
1618,0.920292957,0.144339642,02/05/2021,Gift Wrapping Paper,Self Disposal,Ezi,NA
1619,0.813585998,0.680602577,01/06/2022,Ceramic,House Collection,NA,STADIUM ROAD
1620,0.276022016,0.147733357,13/01/2022,Paint Container,Self Disposal,Ezi,NA
1621,0.049172308,0.364559425,10/09/2021,Bodywash Bottle,House Collection,PWC-Alba-WH,NA
1622,0.192260465,0.897066964,28/09/2022,Glass Cosmetic Bottle,Self Disposal,NA,TUAS DRIVE 1
1623,0.220822118,0.718730973,12/12/2021,Glass Cosmetic Bottle,Self Disposal,NA,LA SALLE STREET
1624,0.205605125,0.063039709,08/02/2022,Glass Cosmetic Bottle,Self Disposal,Passiton.org,NA
1625,0.153833447,0.312724981,17/06/2022,Facial Cleanser Bottle,House Collection,Alba,NA
1626,0.610456077,0.912529169,01/03/2022,Beds,Self Disposal,NA,GOMBAK RISE
1627,0.42300135,0.048148089,15/11/2022,Biscuit Tin,Self Disposal,Passiton.org,NA
1628,0.214235486,0.566436859,19/01/2022,Glass Cosmetic Bottle,Self Disposal,NA,VICTORIA LANE
1629,0.85653906,0.860248691,30/05/2022,Aerosol Can,House Collection,NA,JALAN SELANTING
1630,0.318492118,0.015068823,17/11/2021,Shampoo Bottle,House Collection,Greensquare,NA
1631,0.45465759,0.532177804,13/09/2022,Canned Food Can,House Collection,NA,HENG MUI KENG TERRACE
1632,0.056914596,0.358247877,04/04/2022,Bodywash Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
1633,0.249296399,0.584577718,11/09/2021,Glass Medicine Bottle,Self Disposal,NA,CLAYMORE DRIVE
1634,0.445118634,0.964881432,11/02/2022,Biscuit Tin,House Collection,NA,CANBERRA LANE
1635,0.333899984,0.236796851,16/01/2022,Shampoo Bottle,Self Disposal,Tidy,NA
1636,0.431128584,0.014245768,24/02/2022,Biscuit Tin,House Collection,Greensquare,NA
1637,0.147057388,0.666866763,21/04/2021,Facial Cleanser Bottle,Self Disposal,NA,SHAW ROAD
1638,0.728825728,0.041400844,30/01/2021,Shirts,House Collection,Greensquare,NA
1639,0.982472155,0.171411723,30/07/2021,Red Packet,Self Disposal,Ezi,NA
1640,0.467294867,0.174191555,15/02/2021,Canned Food Can,Self Disposal,Ezi,NA
1641,0.714146745,0.478081897,30/12/2021,Cassette Tape,Self Disposal,PWC-800 Super,NA
1642,0.11082021,0.804901761,10/09/2022,Detergent Bottle,Self Disposal,NA,SIMON LANE
1643,0.216670521,0.044986055,15/11/2021,Glass Cosmetic Bottle,House Collection,Greensquare,NA
1644,0.409331424,0.899877212,29/12/2021,Biscuit Tin,House Collection,NA,NANYANG VIEW
1645,0.61153309,0.08058112,07/01/2022,Computers,Self Disposal,Passiton.org,NA
1646,0.981275006,0.404421294,24/01/2021,Paper Bag,House Collection,PWC-Alba-WH,NA
1647,0.358107047,0.911538573,09/09/2021,Shampoo Bottle,Self Disposal,NA,BURGUNDY CRESCENT
1648,0.797695976,0.314466156,27/07/2022,Paint Container,House Collection,Alba,NA
1649,0.836014179,0.002507636,07/02/2021,Disposable Wooden Chopstick,House Collection,Greensquare,NA
1650,0.345282331,0.618711366,01/08/2022,Shampoo Bottle,Self Disposal,NA,LORONG MAMBONG
1651,0.486320989,0.857520046,29/06/2021,Canned Food Can,Self Disposal,NA,SUNSET SQUARE
1652,0.956734619,0.212044228,17/10/2021,Paint Container,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1653,0.193562859,0.701492226,29/10/2022,Glass Cosmetic Bottle,Self Disposal,NA,LORONG NANGKA
1654,0.373058597,0.483363694,19/10/2021,Beer Bottle,Self Disposal,PWC-800 Super,NA
1655,0.831888584,0.531447897,31/07/2021,Printer Ink Cartridge,House Collection,NA,PASIR PANJANG CLOSE
1656,0.818047285,0.884751754,02/09/2022,Canned Food Can,Self Disposal,NA,GUL AVENUE
1657,0.249341565,0.272150361,08/10/2022,Glass Medicine Bottle,Self Disposal,Tidy,NA
1658,0.549783973,0.343549287,03/05/2021,Pants,Self Disposal,Alba E-waste Smart Recycling,NA
1659,0.599468928,0.914452276,16/08/2022,Condiment Bottle,Self Disposal,NA,HILLVIEW CRESCENT
1660,0.324211414,0.037930519,19/03/2021,Shampoo Bottle,House Collection,Greensquare,NA
1661,0.621377736,0.728155338,14/09/2021,Calendar,Self Disposal,NA,ERNANI STREET
1662,0.560383442,0.186045114,10/11/2021,Metal Drink Can,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1663,0.852299866,0.795957665,28/03/2021,Clothes Dryers,Self Disposal,NA,DEFU LANE 4
1664,0.276070777,0.79513448,27/09/2022,Paint Container,Self Disposal,NA,DEFU LANE 10
1665,0.629489198,0.139722695,21/05/2022,Shorts,Self Disposal,Ezi,NA
1666,0.850343041,0.64971953,29/07/2021,Laptops,Self Disposal,NA,ST. WILFRED ROAD
1667,0.24069047,0.536227143,17/09/2021,Glass Medicine Bottle,House Collection,NA,CLEMENTI AVENUE 5
1668,0.994310762,0.458524633,03/06/2021,Tissue Paper,Self Disposal,PWC-800 Super,NA
1669,0.574216985,0.790283987,16/07/2021,Personal Mobility Devices,House Collection,NA,KIM CHUAN TERRACE
1670,0.384832202,0.931492604,11/06/2021,Beer Bottle,House Collection,NA,SUNGEI GEDONG ROAD
1671,0.894978558,0.195172029,23/06/2022,Toilet Paper,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1672,0.752458756,0.916250602,28/01/2021,Light Bulbs,House Collection,NA,BANGKIT ROAD
1673,0.457343952,0.475225722,22/04/2021,Canned Food Can,Self Disposal,PWC-800 Super,NA
1674,0.528585113,0.918927435,27/05/2021,Prams,Self Disposal,NA,JALAN GALI BATU
1675,0.189273514,0.195875034,07/04/2022,Glass Cosmetic Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1676,0.231918318,0.750326258,02/08/2022,Glass Medicine Bottle,House Collection,NA,HARVEY CRESCENT
1677,0.222897935,0.670427109,23/03/2021,Glass Cosmetic Bottle,Self Disposal,NA,HARRISON ROAD
1678,0.566636015,0.720110989,23/02/2022,Slippers,Self Disposal,NA,TOSCA STREET
1679,0.333682282,0.170806605,19/02/2021,Shampoo Bottle,Self Disposal,Ezi,NA
1680,0.750436053,0.819266227,16/05/2021,Cutlery,Self Disposal,NA,LORONG CHUAN
1681,0.704151265,0.952323136,21/11/2021,Red Packet,House Collection,NA,WOODLANDS INDUSTRIAL PARK E4
1682,0.043856299,0.284285368,08/08/2022,Aerosol Can,House Collection,Alba,NA
1683,0.03341015,0.562229465,06/11/2022,Aerosol Can,Self Disposal,NA,COLEMAN STREET
1684,0.986486717,0.081438379,01/04/2021,Handbags,Self Disposal,Passiton.org,NA
1685,0.332776467,0.425864997,11/01/2021,Shampoo Bottle,Self Disposal,PWC-Sembwaste,NA
1686,0.033646059,0.643868562,10/02/2021,Aerosol Can,House Collection,NA,ESSEX ROAD
1687,0.988835775,0.516415246,04/03/2022,Crockery,Self Disposal,NA,COVE DRIVE
1688,0.026304115,0.778403911,27/02/2022,Aerosol Can,House Collection,NA,TAMPINES AVENUE 3
1689,0.987064028,0.896342349,19/12/2021,Blouses,Self Disposal,NA,TUAS LINK 3
1690,0.848942361,0.710051977,30/06/2022,Rice,House Collection,NA,TANJONG KATONG ROAD SOUTH
1691,0.110399765,0.66553832,23/02/2021,Detergent Bottle,Self Disposal,NA,CHILTERN DRIVE
1692,0.124503176,0.763379198,24/06/2022,Detergent Bottle,House Collection,NA,ANDOVER ROAD
1693,0.990196294,0.711351658,24/05/2022,Servers,Self Disposal,NA,POOLE ROAD
1694,0.872697728,0.642070688,05/02/2022,Refrigerators,House Collection,NA,JALAN NOVENA TIMOR
1695,0.071913507,0.7959422,08/01/2021,Bodywash Bottle,Self Disposal,NA,DEFU LANE 4
1696,0.200357429,0.64704688,25/12/2021,Glass Cosmetic Bottle,House Collection,NA,TOA PAYOH INDUSTRIAL PARK
1697,0.198944647,0.632119926,14/01/2021,Glass Cosmetic Bottle,Self Disposal,NA,MERRYN ROAD
1698,0.652996364,0.804654861,05/07/2022,Light Bulbs,Self Disposal,NA,SIMON WALK
1699,0.17252277,0.336585246,29/01/2021,Facial Cleanser Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
1700,0.349175283,0.852672558,22/10/2022,Shampoo Bottle,House Collection,NA,BUKIT TIMAH AVENUE
1701,0.179734886,0.782478,24/10/2022,Facial Cleanser Bottle,Self Disposal,NA,DEFU SOUTH STREET 1
1702,0.115440837,0.228696214,12/04/2021,Detergent Bottle,Self Disposal,Tidy,NA
1703,0.647649902,0.947894496,30/08/2021,Carriers,House Collection,NA,CANBERRA STREET
1704,0.42727194,0.744188323,02/07/2022,Biscuit Tin,Self Disposal,NA,CHANGI SOUTH AVENUE 4
1705,0.165779873,0.90952126,25/08/2021,Facial Cleanser Bottle,House Collection,NA,BUKIT BATOK WEST AVENUE 9
1706,0.412161822,0.020717439,30/12/2021,Biscuit Tin,House Collection,Greensquare,NA
1707,0.261039238,0.81188281,23/03/2022,Glass Medicine Bottle,House Collection,NA,SERANGOON AVENUE 2
1708,0.799441891,0.597273064,14/02/2021,Plastic Food Bottle,Self Disposal,NA,HARDING ROAD
1709,0.479369135,0.333042964,15/10/2022,Canned Food Can,Self Disposal,Alba E-waste Smart Recycling,NA
1710,0.054866138,0.167743893,30/04/2021,Bodywash Bottle,Self Disposal,Ezi,NA
1711,0.419188813,0.253746355,21/01/2022,Biscuit Tin,Self Disposal,Tidy,NA
1712,0.973454739,0.67654714,07/03/2022,Paper Cup,Self Disposal,NA,LORONG 19 GEYLANG
1713,0.333095973,0.385809986,19/08/2022,Shampoo Bottle,House Collection,PWC-Alba-WH,NA
1714,0.207036317,0.690157117,16/08/2022,Glass Cosmetic Bottle,Self Disposal,NA,KAKI BUKIT ROAD 3
1715,0.421329016,0.127662445,01/09/2022,Biscuit Tin,Self Disposal,Salvation Army,NA
1716,0.447775884,0.762109064,07/04/2021,Biscuit Tin,Self Disposal,NA,JALAN BATALONG EAST
1717,0.792254722,0.290229578,01/01/2022,Light Bulbs,House Collection,Alba,NA
1718,0.768301945,0.835741388,07/02/2021,Blouses,Self Disposal,NA,CASUARINA WALK
1719,0.69914971,0.377100764,11/10/2021,Glass Drink Bottle,House Collection,PWC-Alba-WH,NA
1720,0.897668239,0.167059448,14/09/2022,Condiment Bottle,Self Disposal,Ezi,NA
1721,0.698849644,0.305845919,18/06/2021,Condiment Bottle,House Collection,Alba,NA
1722,0.576759011,0.585331563,30/11/2022,Tissue Paper,Self Disposal,NA,BIDEFORD ROAD
1723,0.121295949,0.415442952,10/03/2022,Detergent Bottle,Self Disposal,PWC-Sembwaste,NA
1724,0.68259378,0.231716445,12/04/2021,Metal Bottle Cap,Self Disposal,Tidy,NA
1725,0.299665125,0.053863419,02/07/2022,Paint Container,Self Disposal,Passiton.org,NA
1726,0.906158717,0.997141095,22/08/2022,High Chairs,Self Disposal,NA,EDGEFIELD PLAINS
1727,0.696228766,0.841526538,22/09/2022,Toilet Paper,Self Disposal,NA,JALAN SEMBILANG
1728,0.891099984,0.223514754,10/11/2022,Switches,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1729,0.038895612,0.893012994,09/02/2022,Aerosol Can,Self Disposal,NA,TUAS WEST STREET
1730,0.082782018,0.298086246,03/05/2021,Bodywash Bottle,House Collection,Alba,NA
1731,0.582704475,0.521466355,15/07/2021,Glass Plate,House Collection,NA,MARANG ROAD
1732,0.751345221,0.468700573,15/07/2022,Network Hubs,Self Disposal,PWC-800 Super,NA
1733,0.716248857,0.233127209,29/06/2021,Wax Paper,Self Disposal,Tidy,NA
1734,0.448902737,0.330537587,27/07/2022,Biscuit Tin,Self Disposal,Alba E-waste Smart Recycling,NA
1735,0.86188811,0.261830781,26/11/2022,Paper Bag,Self Disposal,Tidy,NA
1736,0.3126601,0.204747279,04/01/2022,Paint Container,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1737,0.258663235,0.059534301,05/02/2022,Glass Medicine Bottle,Self Disposal,Passiton.org,NA
1738,0.923199381,0.841237418,11/05/2021,Toilet Paper Roll,House Collection,NA,JALAN TAMBUR
1739,0.130171522,0.568128066,11/03/2021,Detergent Bottle,House Collection,NA,ALIWAL STREET
1740,0.579664169,0.882735958,30/12/2021,Food Jar,Self Disposal,NA,JOO KOON WAY
1741,0.323565385,0.628189175,02/11/2022,Shampoo Bottle,House Collection,NA,PINE WALK
1742,0.957203699,0.944548736,18/03/2021,Canned Food Can,Self Disposal,NA,WOODLANDS WALK
1743,0.714456096,0.987605757,29/10/2022,Instant Noodle Bag,House Collection,NA,MIMOSA VIEW
1744,0.014201361,0.737763132,17/02/2022,Aerosol Can,House Collection,NA,LIMAU WALK
1745,0.511998402,0.962896099,31/05/2021,Towels,House Collection,NA,YISHUN STREET 41
1746,0.140739884,0.785169372,11/03/2022,Facial Cleanser Bottle,Self Disposal,NA,AIRPORT ROAD
1747,0.053165657,0.438283089,18/04/2021,Bodywash Bottle,Self Disposal,PWC-Sembwaste,NA
1748,0.817832383,0.031154477,23/03/2021,Beer Bottle,House Collection,Greensquare,NA
1749,0.740771107,0.969402283,11/03/2022,CD,Self Disposal,NA,SPRINGSIDE WALK
1750,0.666653972,0.482004028,14/05/2021,Pens,Self Disposal,PWC-800 Super,NA
1751,0.02458794,0.369346086,12/03/2022,Aerosol Can,House Collection,PWC-Alba-WH,NA
1752,0.293367374,0.921514256,13/02/2022,Paint Container,House Collection,NA,TECK WHYE CRESCENT
1753,0.357497868,0.927492353,31/03/2022,Shampoo Bottle,House Collection,NA,JALAN LEKAR
1754,0.016070405,0.322054142,17/02/2022,Aerosol Can,Self Disposal,Alba E-waste Smart Recycling,NA
1755,0.211723211,0.222209699,23/02/2022,Glass Cosmetic Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1756,0.389674913,0.892674087,05/09/2022,Beer Bottle,House Collection,NA,TUAS BAY LINK
1757,0.578410058,0.236845047,08/02/2022,Detergent Bottle,Self Disposal,Tidy,NA
1758,0.862923425,0.063110304,27/11/2022,Plastic Film Packaging,Self Disposal,Passiton.org,NA
1759,0.93795412,0.743792342,25/11/2022,Juice Carton,House Collection,NA,PARI DEDAP WALK
1760,0.66571183,0.045568183,05/03/2022,Rice Cookers,Self Disposal,Passiton.org,NA
1761,0.015935514,0.77705466,17/05/2022,Aerosol Can,Self Disposal,NA,TAMPINES INDUSTRIAL AVENUE 4
1762,0.154765884,0.323032161,05/11/2021,Facial Cleanser Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
1763,0.199052942,0.167969455,30/05/2021,Glass Cosmetic Bottle,Self Disposal,Ezi,NA
1764,0.428979412,0.90478477,24/06/2022,Biscuit Tin,House Collection,NA,JURONG WEST STREET 26
1765,0.332841217,0.617857368,17/01/2021,Shampoo Bottle,House Collection,NA,MOONBEAM TERRACE
1766,0.420740199,0.97092287,14/03/2021,Biscuit Tin,House Collection,NA,LENTOR ROAD
1767,0.011038637,0.063219374,26/11/2021,Aerosol Can,Self Disposal,Passiton.org,NA
1768,0.757437556,0.091752046,07/05/2021,Facial Cleanser Bottle,Self Disposal,Salvation Army,NA
1769,0.331627861,0.873331992,02/04/2022,Shampoo Bottle,House Collection,NA,CHIA PING ROAD
1770,0.547160882,0.421690282,21/04/2022,Pencils,Self Disposal,PWC-Sembwaste,NA
1771,0.065110729,0.095946745,05/01/2021,Bodywash Bottle,Self Disposal,Salvation Army,NA
1772,0.673276125,0.950535607,27/03/2021,Clothes Dryers,Self Disposal,NA,SEMBAWANG WALK
1773,0.479020542,0.314315774,25/06/2021,Canned Food Can,House Collection,Alba,NA
1774,0.621241795,0.79122083,12/06/2021,Bubble Wrap,House Collection,NA,JALAN SONGKET
1775,0.344751955,0.314521266,11/08/2021,Shampoo Bottle,House Collection,Alba,NA
1776,0.330733497,0.965285912,01/08/2022,Shampoo Bottle,House Collection,NA,CHENCHARU LINK
1777,0.562628386,0.603718191,13/10/2021,Glass Cup,House Collection,NA,FERNHILL ROAD
1778,0.710535277,0.588952735,06/05/2021,Crockery,Self Disposal,NA,MOHAMED SULTAN ROAD
1779,0.866874632,0.331805735,23/09/2021,Walkers,Self Disposal,Alba E-waste Smart Recycling,NA
1780,0.505860348,0.216489817,20/02/2022,Writing Paper,Self Disposal,Gee Hoe Seng Pte Ltd,NA
1781,0.122585993,0.151657931,10/03/2021,Detergent Bottle,Self Disposal,Ezi,NA
1782,0.070109966,0.821801986,13/12/2021,Bodywash Bottle,Self Disposal,NA,CROWHURST DRIVE
1783,0.338795444,0.366301858,22/04/2021,Shampoo Bottle,House Collection,PWC-Alba-WH,NA
1784,0.605343548,0.643476293,25/02/2022,Writing Paper,Self Disposal,NA,GENTLE ROAD
1785,0.294612403,0.610009193,24/07/2021,Paint Container,Self Disposal,NA,LUTHERAN ROAD
1786,0.938770791,0.020379206,25/07/2021,Plastic Takeaway Container,House Collection,Greensquare,NA
1787,0.661290381,0.257465868,11/05/2022,CD,Self Disposal,Tidy,NA
1788,0.745104237,0.946588836,03/03/2021,Ovens,House Collection,NA,MARSILING INDUSTRIAL ESTATE ROAD 1
1789,0.057666804,0.65652647,20/11/2022,Bodywash Bottle,Self Disposal,NA,WAN THO AVENUE
1790,0.175999272,0.537304221,05/11/2021,Facial Cleanser Bottle,Self Disposal,NA,WEST COAST CRESCENT
1791,0.494744414,0.906021179,31/08/2021,Canned Food Can,Self Disposal,NA,WESTWOOD ROAD
1792,0.508533184,0.850250489,21/08/2021,High Chairs,Self Disposal,NA,SIAN TUAN AVENUE
1793,0.755766993,0.299497478,02/09/2021,Toilet Paper,House Collection,Alba,NA
1794,0.662160456,0.922924927,23/12/2021,Glass Plate,Self Disposal,NA,CHOA CHU KANG STREET 62
1795,0.598725468,0.273590217,08/01/2021,Glass Medicine Bottle,House Collection,Alba,NA
1796,0.929778909,0.99947897,14/11/2021,Laptops,Self Disposal,NA,PUNGGOL COAST ROAD
1797,0.504954472,0.825545584,06/11/2021,Plastic Egg Tray,Self Disposal,NA,ANG MO KIO AVENUE 4
